userID,userName,mediaID,mediaDate,mediaLocationLat,mediaLocationLong,mediaCommentFrom_id,mediaCommentFrom_userName,mediaComment_time,text_length,comment_text
2504191,aaron,1154750856860631802_2504191,2016/1/3,34.044785,-118.25202,14307272,elenabiggie,2016/1/3,67,
2504191,aaron,1154750856860631802_2504191,2016/1/3,34.044785,-118.25202,2360208196,mynetwork247,2016/1/4,4,
2504191,aaron,1154750856860631802_2504191,2016/1/3,34.044785,-118.25202,1088470036,into_theworld,2016/1/4,14,
2504191,aaron,1151872802438086719_2504191,2015/12/30,34.224693,-117.03601,3977672,cameronnicole,2015/12/31,29,
2504191,aaron,1151872802438086719_2504191,2015/12/30,34.224693,-117.03601,1088470036,into_theworld,2016/1/1,23,
2504191,aaron,1151872802438086719_2504191,2015/12/30,34.224693,-117.03601,326939604,bornwildproject,2016/2/5,13,
2504191,aaron,1151872802438086719_2504191,2015/12/30,34.224693,-117.03601,2504191,aaron,2016/2/5,25,
47549502,aaronkkai,1206044093026033042_47549502,2016/3/14,34.0522,-118.243,15965249,sil.valdes,2016/3/14,171,
47549502,aaronkkai,1206044093026033042_47549502,2016/3/14,34.0522,-118.243,205705707,dexleflare_,2016/3/14,73,
47549502,aaronkkai,1206044093026033042_47549502,2016/3/14,34.0522,-118.243,47549502,aaronkkai,2016/3/14,39,
47549502,aaronkkai,1206044093026033042_47549502,2016/3/14,34.0522,-118.243,2267834403,aldynugroho7,2016/3/14,4,
47549502,aaronkkai,1205243824327515427_47549502,2016/3/13,34.0522,-118.243,272837589,chachouu9,2016/3/13,14,
47549502,aaronkkai,1205243824327515427_47549502,2016/3/13,34.0522,-118.243,272837589,chachouu9,2016/3/13,38,
47549502,aaronkkai,1205243824327515427_47549502,2016/3/13,34.0522,-118.243,1407916244,fucci,2016/3/13,9,
47549502,aaronkkai,1205243824327515427_47549502,2016/3/13,34.0522,-118.243,24792258,corallwebsttter,2016/3/14,46,
