itemType,title,date,checkOutTimes,checkOutDuration
acbk,Bowie album by album,2015/02,4,13.5
acbk,David Bowie is the subject,2015/02,2,47
acbk,David Bowie starman,2015/02,5,4.5
acbk,Bowie album by album,2015/03,2,18
acbk,David Bowie is the subject,2015/03,2,21
acbk,man who sold the world David Bowie and the 1970s,2015/03,2,43
acbk,Any day now David Bowie the London years 1947 1974,2015/04,2,3
acbk,Bowie the biography,2015/04,2,11
acbk,David Bowie is the subject,2015/04,2,12
acbk,David Bowie starman,2015/04,2,3
acbk,Bowie album by album,2015/05,2,32
acbk,Bowie the biography,2015/05,7,21
acbk,David Bowie starman,2015/05,4,22.5
acbk,man who sold the world David Bowie and the 1970s,2015/05,2,84
acbk,Bowie the biography,2015/06,1,NULL
acbk,David Bowie is the subject,2015/06,2,7
acbk,David Bowie starman,2015/06,1,NULL
acbk,man who sold the world David Bowie and the 1970s,2015/06,1,NULL
acbk,Any day now David Bowie the London years 1947 1974,2015/07,2,4
acbk,Bowie album by album,2015/07,4,43.5
acbk,Bowie the biography,2015/07,4,2.5
acbk,David Bowie is the subject,2015/07,2,12
acbk,David Bowie starman,2015/07,4,16
acbk,man who sold the world David Bowie and the 1970s,2015/07,2,12
acbk,Bowie the biography,2015/08,4,7
acbk,David Bowie starman,2015/08,4,34
acbk,Any day now David Bowie the London years 1947 1974,2015/09,4,10.5
acbk,Bowie album by album,2015/09,5,36.5
acbk,David Bowie is the subject,2015/09,2,NULL
acbk,David Bowie starman,2015/09,2,13
acbk,man who sold the world David Bowie and the 1970s,2015/09,5,37.5
acbk,man who sold the world David Bowie and the 1970s,2015/10,4,10
acbk,Any day now David Bowie the London years 1947 1974,2015/11,2,21
acbk,Bowie the biography,2015/11,4,47
acbk,David Bowie is the subject,2015/11,2,8
acbk,David Bowie starman,2015/11,3,13
acbk,man who sold the world David Bowie and the 1970s,2015/11,2,19
acbk,Bowie album by album,2015/12,2,NULL
acbk,Bowie the biography,2015/12,2,2
acbk,David Bowie is the subject,2015/12,1,NULL
acbk,David Bowie starman,2015/12,1,NULL
acbk,man who sold the world David Bowie and the 1970s,2015/12,1,NULL
acbk,Any day now David Bowie the London years 1947 1974,2070/01,1,15179
acbk,Bowie a biography,2070/01,5,14553.2
acbk,David Bowie starman,2070/01,8,15177.875
accd,Diamond dogs,2005/10,2,100
accd,Reality,2005/10,1,88
accd,Scary monsters,2005/10,1,66
accd,Station to station,2005/10,1,1074
accd,Best of Bowie,2005/11,2,42.5
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2005/11,3,50
accd,ChangesBowie,2005/11,1,44
accd,Diamond dogs,2005/11,2,50
accd,Earthling,2005/11,1,41
accd,Heathen,2005/11,1,40
accd,man who sold the world,2005/11,1,40
accd,Station to station,2005/11,4,56.75
accd,Aladdin sane,2005/12,5,25.2
accd,Best of Bowie,2005/12,16,56.3125
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2005/12,3,57
accd,ChangesBowie,2005/12,4,19
accd,David live,2005/12,5,34.8
accd,Diamond dogs,2005/12,4,20.75
accd,Earthling,2005/12,1,28
accd,Heathen,2005/12,4,37
accd,Heroes,2005/12,7,24.4286
accd,Hunky dory,2005/12,3,15
accd,Lodger,2005/12,5,16.8
accd,Low,2005/12,11,15.1818
accd,man who sold the world,2005/12,7,29.2857
accd,Outside,2005/12,5,19.8
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2005/12,12,21.3333
accd,Scary monsters,2005/12,9,32.7778
accd,Space oddity,2005/12,6,22.1667
accd,Stage,2005/12,3,21.6667
accd,Station to station,2005/12,7,28.2857
accd,Young Americans,2005/12,7,16.7143
accd,Aladdin sane,2006/01,22,14.1875
accd,Best of Bowie,2006/01,39,19.037
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/01,9,15
accd,ChangesBowie,2006/01,17,20.4167
accd,David live,2006/01,18,12.75
accd,Diamond dogs,2006/01,21,9.5
accd,Earthling,2006/01,5,12.2
accd,Heathen,2006/01,10,14.8333
accd,Heroes,2006/01,20,17.5333
accd,Hunky dory,2006/01,31,14.4545
accd,Lodger,2006/01,12,25.5714
accd,Low,2006/01,29,12.4737
accd,man who sold the world,2006/01,19,15.6
accd,Outside,2006/01,8,20.5
accd,Reality,2006/01,15,16.0909
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/01,20,19.6154
accd,Scary monsters,2006/01,20,17.6923
accd,Space oddity,2006/01,16,14.2
accd,Stage,2006/01,18,23
accd,Station to station,2006/01,31,15.2
accd,Young Americans,2006/01,15,15.9091
accd,Aladdin sane,2006/02,22,13.3571
accd,Best of Bowie,2006/02,29,12.5556
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/02,10,13
accd,ChangesBowie,2006/02,14,9.6667
accd,David live,2006/02,31,20.2105
accd,Diamond dogs,2006/02,29,10
accd,Earthling,2006/02,14,11.4444
accd,Heathen,2006/02,8,12.5
accd,Heroes,2006/02,15,13.5
accd,Hunky dory,2006/02,23,19.0625
accd,Lodger,2006/02,18,14.9091
accd,Low,2006/02,26,17.0714
accd,man who sold the world,2006/02,26,12.1538
accd,Outside,2006/02,6,16
accd,Reality,2006/02,22,17.6923
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/02,35,11.3636
accd,Scary monsters,2006/02,27,17.7857
accd,Space oddity,2006/02,27,19.0556
